tipo,nome,custo_mana,descricao,poder,resistencia,tipo_magia,tem_alvo,afeta_todos,efeitos
CartaCriatura,Guerreiro Esquelético,1,Um lutador esquelético.,1,1,,,,
CartaCriatura,Esqueleto Gigante,5,Um esqueleto massivo com imensa força.,5,5,,,,
CartaCriatura,Zumbi,2,Uma criatura morta-viva sem cérebro.,2,2,,,,
CartaCriatura,Vampiro,4,Uma criatura sanguinária.,3,4,,,,
CartaCriatura,Explorador Goblin,1,Um goblin sorrateiro.,1,1,,,,
CartaCriatura,Guerreiro Orc,3,Um orc forte.,4,3,,,,
CartaCriatura,Dragão Filhote,2,Um jovem dragão.,2,3,,,,
CartaCriatura,Elemental de Fogo,4,Uma criatura de fogo.,4,4,,,,
CartaCriatura,Elemental de Água,4,Uma criatura de água.,3,5,,,,
CartaCriatura,Golem de Pedra,6,Um gigante feito de pedra.,6,6,,,,
CartaFeitico,Bola de Fogo,3,Causa 3 de dano a um alvo.,3,,dano_unico,True,,
CartaFeitico,Raio,2,Causa 2 de dano a um alvo.,2,,dano_unico,True,,
CartaFeitico,Explosão de Gelo,4,Causa 4 de dano ao oponente.,4,,dano_direto,False,,
CartaFeitico,Terremoto,5,Causa 5 de dano a todas as criaturas do oponente.,5,,dano_coletivo,False,True,
CartaFeitico,Escudo,2,Aumenta a resistência de todas as criaturas amigas em 1.,1,,buff_coletivo,False,True,
CartaFeitico,Cura Menor,1,Restaura 2 de saúde.,2,,cura,False,,
CartaFeitico,Cura Média,3,Restaura 5 de saúde.,5,,cura,False,,
CartaFeitico,Cura Superior,5,Restaura 10 de saúde.,10,,cura,False,,
CartaFeiticoRevive,Necromante Sombrio,0,Revive uma criatura aleatória do cemitério.,0,,,,
CartaTerreno,Floresta Encantada,0,Um terreno que concede mana extra.,,,mana_extra,False,,
CartaTerreno,Fonte da Vida,0,Um terreno que cura o jogador.,,,cura,False,,
CartaAleatoria,Caos Mágico,3,Ativa um efeito aleatório.,,,,,,dano;cura;mana_extra
